Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2012-03-24T10:28:00,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-19.6,-5.3,33.1,-19.6,-5.2,33.1
2012-03-24T10:28:01,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-20.0,-5.2,33.2,-20.1,-5.1,33.2
2012-03-24T10:28:02,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-20.5,-5.3,33.5,-20.6,-5.1,33.5
2012-03-24T10:28:03,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-21.0,-5.2,33.6,-21.0,-5.1,33.6
2012-03-24T10:28:04,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-21.5,-5.3,33.8,-21.6,-5.2,33.8
2012-03-24T10:28:05,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-22.1,-5.4,34.1,-22.1,-5.2,34.1
2012-03-24T10:28:06,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-22.5,-5.4,34.2,-22.5,-5.2,34.2
2012-03-24T10:28:07,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-22.9,-5.4,34.5,-23.0,-5.2,34.5
2012-03-24T10:28:08,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-23.2,-5.2,34.6,-23.3,-5.1,34.6
2012-03-24T10:28:09,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-23.5,-5.0,34.8,-23.5,-4.9,34.8
2012-03-24T10:28:10,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-23.8,-4.9,35.1,-23.8,-4.7,35.1
2012-03-24T10:28:11,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-24.1,-4.7,35.3,-24.1,-4.6,35.3
2012-03-24T10:28:12,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-24.5,-4.7,35.4,-24.5,-4.5,35.4
2012-03-24T10:28:13,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-24.9,-4.7,35.5,-24.9,-4.5,35.5
2012-03-24T10:28:14,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-25.3,-4.6,35.6,-25.3,-4.4,35.6
2012-03-24T10:28:15,1,GIM,265.36,56.38,-26.08,66.16,3.78,23.84,-0.40,104.22,-25.6,-4.6,35.7,-25.6,-4.4,35.7
